activity,ambience,budget,color,dress_preference,drink_level,height,hijos,interest,user_latitude,user_longitude,marital_status,personality,religion,smoker,transport,weight,Rambience,accessibility,address,alcohol,area,rest_city,country,dress_code,fax,franchise,rest_latitude,rest_longitude,rest_name,other_services,price,smoking_area,state,url,zip,user_age,target_exitoso
student,family,medium,blue,elegant,social drinker,1.71,kids,technology,22.156469,-100.98554,married,thrifty-protector,Catholic,False,public,65,familiar,no_accessibility,Venustiano Carranza 719 Centro,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,?,f,22.150802,-100.98268,Tortas Locas Hipocampo,none,medium,not permitted,SLP,?,78000,38,1
student,family,medium,blue,elegant,social drinker,1.71,kids,technology,22.156469,-100.98554,married,thrifty-protector,Catholic,False,public,65,familiar,no_accessibility,Guajardo Sn San Luis Potosi Centro,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,?,f,22.155651,-100.977767,Restaurant la Chalita,none,medium,section,SLP,?,78000,38,1
student,family,medium,blue,elegant,social drinker,1.71,kids,technology,22.156469,-100.98554,married,thrifty-protector,Catholic,False,public,65,familiar,completely,esquina santos degollado y leon guzman,No_Alcohol_Served,open,s.l.p.,mexico,informal,?,f,22.1473922,-100.983092,puesto de tacos,none,low,none,s.l.p.,?,78280,38,1
student,family,medium,blue,elegant,social drinker,1.71,kids,technology,22.156469,-100.98554,married,thrifty-protector,Catholic,False,public,65,familiar,no_accessibility,Ignacio Allende 785 Centro,No_Alcohol_Served,closed,San Luis Potosi,Mexico,informal,?,f,22.1568829999999,-100.978484999999,Restaurante Marisco Sam,none,medium,none,SLP,?,78310,38,0
student,friends,low,blue,informal,casual drinker,1.57,independent,technology,22.23712450000015,-99.168605,single,thrifty-protector,Catholic,False,public,72,familiar,completely,?,Full_Bar,closed,?,?,informal,?,t,22.17655535,-100.8445762,vips,variety,medium,not permitted,?,?,?,37,0
student,friends,low,blue,informal,casual drinker,1.57,independent,technology,22.23712450000015,-99.168605,single,thrifty-protector,Catholic,False,public,72,familiar,completely,?,No_Alcohol_Served,open,Ciudad Victoria,Mexico,informal,?,f,22.17655535,-100.8445762,Carreton de Flautas y Migadas,none,low,permitted,Tamaulipas,?,?,37,0
student,friends,low,blue,informal,casual drinker,1.57,independent,technology,22.23712450000015,-99.168605,single,thrifty-protector,Catholic,False,public,72,familiar,completely,?,No_Alcohol_Served,closed,victoria,mexico,informal,?,f,22.17655535,-100.8445762,tacos abi,none,low,none,tamaulipas,?,?,37,0
student,friends,low,blue,informal,casual drinker,1.57,independent,technology,22.23712450000015,-99.168605,single,thrifty-protector,Catholic,False,public,72,familiar,completely,Calle Mezquite Fracc Framboyanes,No_Alcohol_Served,open,Cd Victoria,Mexico,casual,?,f,22.17655535,-100.8445762,Taqueria EL amigo,none,low,none,Tamaulipas,?,87018,37,0
student,friends,low,blue,informal,casual drinker,1.57,independent,technology,22.23712450000015,-99.168605,single,thrifty-protector,Catholic,False,public,72,familiar,completely,blvrd emilio portes gil,No_Alcohol_Served,closed,victoria,?,informal,?,f,22.17655535,-100.8445762,palomo tec,none,low,none,tamaulipas,?,?,37,0
student,family,medium,green,no preference,abstemious,1.73,independent,technology,22.23712450000015,-99.168605,single,thrifty-protector,Christian,False,public,92,familiar,completely,?,No_Alcohol_Served,closed,?,?,informal,?,t,22.17655535,-100.8445762,Gorditas Dona Tota,none,medium,not permitted,?,?,?,38,1
